accessed_date,duration_(secs),network_protocol,ip,bytes,accessed_Ffom,age,gender,country,membership,language,sales,returned,returned_amount,pay_method,data
2017-03-21 00:10:08.918,1956,TCP  ,82.132.223.122,46,Chrome,,Female,RU,Premium,English,35.84,No,0.0,Cash,2017-03-21
2017-03-21 00:10:16.313,3631,TCP  ,82.132.224.980,182,Chrome,,Female,US,Premium,English,1500.4,No,0.0,Cash,2017-03-21
2017-03-21 00:10:16.313,2009,TCP  ,82.132.224.1060,349,Chrome,,Female,US,Premium,English,40.66,No,0.0,Cash,2017-03-21
2017-03-21 00:08:35.847,3668,TCP  ,82.132.228.1344,225,Chrome,,Male,US,Premium,English,26.15,No,0.0,Debit Card,2017-03-21
2017-03-21 00:08:35.847,3441,TCP  ,82.132.228.1449,5673,IOS App,,Female,IT,Premium,English,900.24,No,0.0,Cash,2017-03-21
2017-03-21 00:07:40.246,3920,TCP  ,82.132.230.10,556,IOS App,,Female,IT,Normal,English,1500.4,No,0.0,Debit Card,2017-03-21
2017-03-21 00:07:40.246,1998,TCP  ,82.132.230.201,515,IOS App,,Male,AR,Normal,English,900.24,No,0.0,Others,2017-03-21
2017-03-21 00:07:40.246,1598,TCP  ,82.132.230.62,702,IOS App,,Male,JP,Normal,English,107.52,No,0.0,Debit Card,2017-03-21
2017-03-21 00:07:40.246,4900,TCP  ,82.132.232.2167,586,IOS App,,Female,IN,Normal,English,35.84,No,0.0,Debit Card,2017-03-21
2017-03-21 00:07:40.552,4076,TCP  ,82.132.232.2337,556,IOS App,,Male,IT,Normal,English,60.6,No,0.0,Debit Card,2017-03-21
2017-03-21 00:07:40.552,3508,TCP  ,82.132.235.180,515,IOS App,,Male,AT,Normal,English,26.15,No,0.0,Others,2017-03-21
2017-03-21 00:07:40.552,3266,TCP  ,82.132.235.226,702,Microsoft Edge,,Male,CH,Normal,English,900.24,No,0.0,Cash,2017-03-21
2017-03-21 00:07:40.552,2967,TCP  ,82.132.235.242,586,Microsoft Edge,,Male,CA,Normal,English,2100.0,No,0.0,Cash,2017-03-21
2017-03-21 00:07:41.650,2812,TCP  ,82.132.238.956,639,Microsoft Edge,,Female,RU,Normal,French,900.24,No,0.0,Debit Card,2017-03-21
2017-03-21 00:07:41.650,1958,TCP  ,82.132.238.1022,614,Microsoft Edge,,Female,IT,Normal,English,30.3,No,0.0,Credit Card,2017-03-21
2017-03-21 00:07:41.986,4058,TCP  ,82.132.239.105,639,Microsoft Edge,,Female,IT,Normal,English,58.65,No,0.0,Debit Card,2017-03-21
2017-03-21 00:07:41.986,2360,TCP  ,82.132.243.1810,614,Microsoft Edge,,Male,US,Normal,English,30.3,No,0.0,Credit Card,2017-03-21
2017-03-21 00:07:52.878,3823,TCP  ,82.132.243.1951,2267,Safari,,Female,US,Premium,English,162.64,No,0.0,Credit Card,2017-03-21
2017-03-21 00:07:52.878,4802,TCP  ,82.132.245.89,3185,Safari,,Female,IT,Premium,English,5250.0,No,0.0,Cash,2017-03-21
2017-03-21 00:11:03.475,2331,TCP  ,82.132.246.1121,2157,Safari,,Male,IT,Premium,English,179.2,No,0.0,Credit Card,2017-03-21
2017-03-21 00:11:03.475,4434,TCP  ,82.132.246.1190,3249,Safari,,Female,AU,Premium,English,179.2,No,0.0,Credit Card,2017-03-21
2017-03-21 00:11:33.887,1534,TCP  ,82.135.206.201,46,Others,,Female,IT,Premium,English,75.75,No,0.0,Cash,2017-03-21
2017-03-21 00:11:33.887,2059,TCP  ,82.135.237.83,40,Others,,Male,RU,Premium,English,203.3,No,0.0,Cash,2017-03-21
2017-03-21 00:06:38.232,2880,TCP  ,82.135.244.148,335,Others,,Male,IT,Premium,English,900.24,No,0.0,Credit Card,2017-03-21
2017-03-21 00:06:38.232,4752,TCP  ,82.140.178.51,4445,Others,,Female,PL,Premium,English,1500.4,No,0.0,Cash,2017-03-21
2017-03-21 00:08:55.046,4751,TCP  ,82.140.211.18,2267,Others,,Female,US,Premium,Russian,15.69,No,0.0,Debit Card,2017-03-21
